seed_net,seed_stim,MC_no_adaptation,MC_sfa1_std1,MC_sfa3_std2,H_no_adaptation,H_sfa1_std1,H_sfa3_std2
3001,4001,0.0798831016735535,0.139613559056483,0.639995073776422,0,0,0.6
3002,4002,0.0868403504667986,0.193816999981377,0.565019622915512,0,0,0.6
3003,4003,0.122948825347679,0.356291831569325,0.248897862126645,0,0.6,0
3004,4004,0.135424752623841,0.219320102644627,0.602753957874012,0,0,0.6
3005,4005,0.129337149452434,0.30806302962981,0.857327584129312,0,0.3,0.6
3006,4006,0.0791180206106435,0.257726059699258,0.419311376686245,0,0,0.3
3007,4007,0.140756940786741,0.55309019496998,0.79290334034189,0,0.3,0.6
3008,4008,0.106946785879811,0.23375873849438,0.504900984285047,0,0.3,0.6
3009,4009,0.0716201942212036,0.248075755395354,0.572359463269364,0,0,0.6
3010,4010,0.105765743527228,0.218514033473546,0.64757817483619,0,0,0.6
3011,4011,0.122660523886063,0.199649383855954,0.685396895448037,0,0,0.6
3012,4012,0.0841161096527462,0.226270162553582,0.600626905838453,0,0,0.6
3013,4013,0.102247908590052,0.22383798201899,0.509106283561004,0,0,0.6
3014,4014,0.0861055856212606,0.21038514719778,0.466533345528686,0,0,0.3
3015,4015,0.0958823695214635,0.295898462316879,0.733777247553804,0,0.3,0.6
