seed_net,seed_stim,MC_no_adaptation,MC_sfa1_std1,MC_sfa3_std2,H_no_adaptation,H_sfa1_std1,H_sfa3_std2
3001,4001,0.0844674284399112,1.34774853886372,14.6852738608927,0,1.2,9.3
3002,4002,0.110880976372836,2.05070976853675,14.7151286346519,0,1.5,9.3
3003,4003,0.118804200606765,3.23945564371087,14.5524261830206,0,1.8,9
3004,4004,0.127142875914093,2.01499590628184,14.2648440706719,0,1.5,8.7
3005,4005,0.108774119184881,2.85466479877783,12.8460505810214,0,2.1,7.2
3006,4006,0.0821209557521353,1.87825733743223,13.6969474196761,0,1.2,9
3007,4007,0.142954495319367,9.29363787087172,13.4642277964473,0,4.8,7.2
3008,4008,0.0869312443684215,12.2106081786534,12.6858569467621,0,6,7.8
3009,4009,0.0772148497637036,1.97153623427587,11.1544638280162,0,1.5,7.2
3010,4010,0.0974216203273245,6.3171034539306,13.3079607609784,0,4.2,8.7
3011,4011,0.136936751338959,6.09516559758455,14.1397902245892,0,3.3,8.7
3012,4012,0.108469956301698,1.96336576552494,14.7066368755584,0,1.8,8.1
3013,4013,0.093772431658447,1.80556003290434,12.8423419195475,0,1.2,9
3014,4014,0.111634045751163,2.06937209999479,13.3205958159724,0,1.5,8.1
3015,4015,0.0959341232093252,2.50994969579546,14.5817215584139,0,1.5,10.2
